"runid","attempt","file","rows","cols","withna","package","sample","timing","bytes","platform","experiment_date"
"master",first,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",4,0.0089945,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",4,0.0027117,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",5,4.1745408,1.65615982e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",5,0.0132833,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 TextParse.jl",5,0.0029975,1.2768e6,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",1,7.7335934,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",1,0.021340501,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",1,0.0087855,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",2,7.7408913,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",2,0.0090647,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",2,0.009521701,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",3,7.8055491,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",3,0.0098302,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",3,0.0092925,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",4,7.490413,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",4,0.009014799,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",4,0.0090274,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",5,7.4847065,5.15015536e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",5,0.0090553,827408.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia v0.6 CSV.jl",5,0.008679999,827408.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",1,6.0840872,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",1,0.0011287,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",1,0.000630401,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",2,6.125533299,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",2,0.0011559,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",2,0.000654799,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",3,6.0510765,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",3,0.001015701,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",3,0.0006168,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",4,6.3655715,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",4,0.0010596,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",4,0.0006625,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl",5,6.306004,1.047774412e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl",5,0.001184001,52472.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl",5,0.0006674,52472.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",1,6.5814661,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",1,0.001057399,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",1,0.000736401,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",2,6.6938127,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",2,0.0010317,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",2,0.000712201,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",3,6.5175604,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",3,0.0012379,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",3,0.000715901,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",4,6.737268101,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",4,0.001169499,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",4,0.000718599,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSV.jl copycols",5,6.661710001,1.142327218e9,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSV.jl copycols",5,0.0011886,113064.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSV.jl copycols",5,0.0007181,113064.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",1,2.6324486,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",1,0.0034569,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",1,0.0029531,356576.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",2,2.6698652,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",2,0.002990101,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",2,0.0029207,356576.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",3,2.7165346,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",3,0.0030307,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",3,0.0029394,356576.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",4,2.7849774,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",4,0.0030025,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",4,0.003019901,356576.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia DataFrames.jl",5,2.6893331,5.2593201e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia DataFrames.jl",5,0.003485699,358160.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia DataFrames.jl",5,0.0030749,356576.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVReader.jl",1,2.7340878,5.4894251e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVReader.jl",1,0.001905099,236285.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVReader.jl",1,0.0013306,236285.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVReader.jl",2,2.802250999,5.48973902e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVReader.jl",2,0.001393601,236285.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVReader.jl",2,0.0012815,236285.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVReader.jl",3,2.766628599,5.48973902e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVReader.jl",3,0.001392,236285.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVReader.jl",3,0.001328001,236285.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVReader.jl",4,2.798794899,5.48973902e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVReader.jl",4,0.001526301,236285.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVReader.jl",4,0.001396,236285.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia CSVReader.jl",5,2.731255699,5.48973902e8,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia CSVReader.jl",5,0.001731399,236285.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia CSVReader.jl",5,0.0013497,236285.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia Pandas.jl",1,0.042576801,2.66268e6,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia Pandas.jl",1,0.0033668,240.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia Pandas.jl",1,0.0031883,240.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia Pandas.jl",2,0.0444052,2.66268e6,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia Pandas.jl",2,0.003801299,240.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia Pandas.jl",2,0.0035262,240.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia Pandas.jl",3,0.0471602,2.66268e6,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia Pandas.jl",3,0.0037648,240.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia Pandas.jl",3,0.003343901,240.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia Pandas.jl",4,0.0442719,2.66268e6,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia Pandas.jl",4,0.003409299,240.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia Pandas.jl",4,0.0031782,240.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Julia Pandas.jl",5,0.0441366,2.66268e6,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Julia Pandas.jl",5,0.0033163,240.0,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Julia Pandas.jl",5,0.003104401,240.0,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread",1,0.1562529,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread",1,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread",1,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread",2,0.03125191,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread",2,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread",2,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread",3,0.01562786,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread",3,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread",3,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread",4,0.0312469,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread",4,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread",4,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread",5,0.03125095,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread",5,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread",5,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread parallel",1,0.01562595,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread parallel",1,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread parallel",1,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread parallel",2,0.03124905,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread parallel",2,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread parallel",2,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread parallel",3,0.02900004,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread parallel",3,0.001003027,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread parallel",3,0.0009980202,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread parallel",4,0.03124905,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread parallel",4,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread parallel",4,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R fread parallel",5,0.0156281,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R fread parallel",5,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R fread parallel",5,0.01561999,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R readr",1,0.09870219,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R readr",1,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R readr",1,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R readr",2,0.06249404,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R readr",2,0.01485705,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R readr",2,0.00106883,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R readr",3,0.04713607,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R readr",3,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R readr",3,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R readr",4,0.04685712,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R readr",4,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R readr",4,0.01563096,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"R readr",5,0.04687285,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"R readr",5,0.015625,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"R readr",5,0.0,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Python Pandas",1,0.006553600000000159,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Python Pandas",1,0.0055063999999998,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Python Pandas",1,0.003836399999999962,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Python Pandas",2,0.007679600000000009,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Python Pandas",2,0.004823799999999934,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Python Pandas",2,0.0029586000000000334,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Python Pandas",3,0.0021159000000000594,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Python Pandas",3,0.003058000000000005,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Python Pandas",3,0.0028097999999999734,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Python Pandas",4,0.00203380000000003,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Python Pandas",4,0.0029756000000000227,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Python Pandas",4,0.0027310999999999863,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Python Pandas",5,0.0021014999999999784,NaN,"Windows",2019-07-10T05:24:18.445
"master",first,"mixed.csv",100,20,true,"Python Pandas",5,0.0030078999999999523,NaN,"Windows",2019-07-10T05:24:18.445
"master",second,"mixed.csv",100,20,true,"Python Pandas",5,0.0029029000000000416,NaN,"Windows",2019-07-10T05:24:18.445
"master",warmup,"mixed.csv",100,20,true,"Python Arrow parallel",1,0.36434859999999997,NaN,"Windows",2019-07-10T05:24:18.445
